epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3077.83,0.46216,0.67052,0.47367,0.9128,0.94643,0.97846,0.97864,0.93848,0.94672,0.97876,0.97883,0.92543,0.2962,0.41521,0.23438,0.85228,0.000792032,0.000792032,0.000792032
31,3180.88,0.45929,0.66571,0.47464,0.90812,0.93985,0.9803,0.98103,0.93843,0.93985,0.9803,0.98109,0.92813,0.30461,0.41449,0.24101,0.85063,0.000781033,0.000781033,0.000781033
32,3283.46,0.45566,0.65762,0.46207,0.90468,0.95368,0.97312,0.98548,0.94369,0.95398,0.97341,0.98551,0.93699,0.29687,0.39786,0.223,0.85178,0.000770034,0.000770034,0.000770034
33,3381.38,0.45624,0.65568,0.45892,0.90958,0.95611,0.97375,0.98366,0.94046,0.95641,0.97404,0.98382,0.93449,0.30845,0.40233,0.22755,0.8512,0.000759035,0.000759035,0.000759035
34,3476.63,0.45455,0.66041,0.45579,0.90531,0.95598,0.96704,0.98252,0.93876,0.95628,0.96734,0.98264,0.93032,0.30123,0.40376,0.23031,0.85399,0.000748036,0.000748036,0.000748036
35,3572,0.45876,0.66434,0.45813,0.9094,0.95763,0.97082,0.98363,0.94497,0.95793,0.97112,0.98381,0.93441,0.2947,0.39853,0.22808,0.85154,0.000737037,0.000737037,0.000737037
36,3668.79,0.44604,0.64687,0.44703,0.90312,0.95138,0.98185,0.98536,0.94289,0.95168,0.98215,0.98551,0.93884,0.29896,0.4068,0.22007,0.85046,0.000726038,0.000726038,0.000726038
37,3765.39,0.4493,0.6533,0.4484,0.90372,0.95048,0.97633,0.98171,0.94399,0.95099,0.97638,0.98176,0.93165,0.29529,0.39612,0.22324,0.84942,0.00071504,0.00071504,0.00071504
38,3862.09,0.44871,0.66142,0.44499,0.90251,0.95426,0.97714,0.97648,0.93643,0.95456,0.97744,0.97676,0.93041,0.29087,0.38888,0.21778,0.84583,0.000704041,0.000704041,0.000704041
39,3958.73,0.44453,0.65173,0.43848,0.90201,0.95201,0.97721,0.97773,0.9402,0.95231,0.9775,0.97777,0.93257,0.28725,0.39401,0.21813,0.84732,0.000693042,0.000693042,0.000693042
40,4055.79,0.44617,0.64533,0.43507,0.90169,0.95755,0.97244,0.9751,0.93868,0.95784,0.97274,0.97515,0.92555,0.28665,0.39793,0.2179,0.84445,0.000682043,0.000682043,0.000682043
41,4153.12,0.43757,0.63751,0.42858,0.89859,0.95098,0.97762,0.97904,0.93603,0.95127,0.97792,0.97912,0.93417,0.30065,0.39395,0.21813,0.8518,0.000671044,0.000671044,0.000671044
42,4249.94,0.43664,0.63536,0.42208,0.89812,0.95523,0.97681,0.98247,0.94688,0.95553,0.97711,0.98272,0.93642,0.27953,0.4017,0.21426,0.84419,0.000660045,0.000660045,0.000660045
43,4346.48,0.44104,0.63973,0.42697,0.89785,0.95687,0.9727,0.97979,0.93975,0.95716,0.97299,0.98012,0.92997,0.28859,0.391,0.21546,0.84412,0.000649046,0.000649046,0.000649046
44,4442.76,0.43675,0.63537,0.42324,0.89719,0.95427,0.97506,0.97176,0.93633,0.95456,0.97535,0.97187,0.92166,0.283,0.39526,0.21676,0.84458,0.000638047,0.000638047,0.000638047
45,4539.12,0.43602,0.63664,0.41928,0.89854,0.94892,0.9763,0.9821,0.94455,0.94922,0.97659,0.98215,0.9373,0.28276,0.39231,0.21631,0.84601,0.000627048,0.000627048,0.000627048
46,4635.5,0.42911,0.62317,0.41028,0.89381,0.95188,0.97631,0.98364,0.94947,0.95217,0.97661,0.98388,0.94012,0.27614,0.39049,0.20957,0.84323,0.000616049,0.000616049,0.000616049
47,4731.86,0.43191,0.63008,0.41229,0.89483,0.94696,0.97916,0.98295,0.94915,0.94726,0.97946,0.98304,0.93652,0.27039,0.39101,0.21047,0.84129,0.000605051,0.000605051,0.000605051
48,4828.31,0.4305,0.6345,0.40534,0.89445,0.95468,0.97956,0.98225,0.94579,0.95497,0.97986,0.98245,0.93935,0.28378,0.39696,0.20673,0.84417,0.000594052,0.000594052,0.000594052
49,4924.82,0.4275,0.62477,0.40267,0.89481,0.95834,0.97411,0.98222,0.9502,0.95863,0.97441,0.98236,0.93604,0.2741,0.39675,0.20236,0.84369,0.000583053,0.000583053,0.000583053
